2025/03/15 - 16:53:37 | 200 |    50.1647ms |                 ::1 | POST    /api/login
2025/03/15 - 16:53:55 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 16:53:55 | 200 |    49.7121ms |                 ::1 | POST    /api/login
2025/03/15 - 16:55:06 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 16:55:06 | 200 |    50.3798ms |                 ::1 | POST    /api/login
2025/03/15 - 16:55:34 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 16:55:34 | 200 |    48.8232ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:55:35 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 16:55:35 | 200 |    50.3922ms |                 ::1 | POST    /api/login
2025/03/15 - 16:55:38 | 200 |    49.6501ms |                 ::1 | POST    /api/login
2025/03/15 - 16:55:48 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 16:55:49 | 200 |     48.324ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:56:54 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 16:56:54 | 200 |    69.4194ms |                 ::1 | POST    /api/login
2025/03/15 - 16:57:00 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 16:57:00 | 200 |    51.6048ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:57:22 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 16:57:22 | 200 |     49.273ms |                 ::1 | POST    /api/login
2025/03/15 - 16:57:38 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 16:57:38 | 200 |     48.226ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:57:44 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 16:57:44 | 200 |    49.8798ms |                 ::1 | POST    /api/login
2025/03/15 - 16:57:46 | 200 |    50.0392ms |                 ::1 | POST    /api/login
2025/03/15 - 16:58:18 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 16:58:18 | 200 |    49.9113ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:58:21 | 200 |    49.0452ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:58:45 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 16:58:45 | 200 |    49.0411ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 16:59:27 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 16:59:27 | 200 |    49.9983ms |                 ::1 | POST    /api/login
2025/03/15 - 16:59:36 | 200 |       13.3µs |                 ::1 | OPTIONS /api/login
2025/03/15 - 16:59:36 | 200 |    50.3006ms |                 ::1 | POST    /api/login
2025/03/15 - 17:00:41 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:00:41 | 200 |    79.6707ms |                 ::1 | POST    /api/login
2025/03/15 - 17:00:43 | 200 |     48.205ms |                 ::1 | POST    /api/login
2025/03/15 - 17:00:45 | 200 |    50.4929ms |                 ::1 | POST    /api/login
2025/03/15 - 17:00:48 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:00:48 | 200 |    62.1361ms |                 ::1 | POST    /api/login
2025/03/15 - 17:00:51 | 200 |    50.1528ms |                 ::1 | POST    /api/login
2025/03/15 - 17:00:54 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:00:54 | 200 |    48.7835ms |                 ::1 | POST    /api/login
2025/03/15 - 17:00:57 | 200 |    49.3402ms |                 ::1 | POST    /api/login
2025/03/15 - 17:01:07 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:01:07 | 200 |    50.6365ms |                 ::1 | POST    /api/login
2025/03/15 - 17:01:12 | 200 |    64.0039ms |                 ::1 | POST    /api/login
2025/03/15 - 17:01:14 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:01:15 | 200 |    67.4294ms |                 ::1 | POST    /api/login
2025/03/15 - 17:01:17 | 200 |    75.7717ms |                 ::1 | POST    /api/login
2025/03/15 - 17:02:02 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:02:02 | 200 |    49.2506ms |                 ::1 | POST    /api/login
2025/03/15 - 17:02:02 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 17:02:02 | 403 |     1.5736ms |                 ::1 | GET     /api/halls
2025/03/15 - 17:02:09 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 17:02:09 | 200 |    50.9519ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 17:02:10 | 200 |           0s |           127.0.0.1 | OPTIONS /api/halls
2025/03/15 - 17:02:10 | 403 |     1.0646ms |           127.0.0.1 | GET     /api/halls
2025/03/15 - 17:02:11 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:02:11 | 200 |    85.2782ms |                 ::1 | POST    /api/login
2025/03/15 - 17:02:11 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 17:02:11 | 200 |     4.2366ms |                 ::1 | GET     /api/halls
2025/03/15 - 17:02:18 | 200 |           0s |           127.0.0.1 | OPTIONS /api/login
2025/03/15 - 17:02:18 | 200 |    48.9134ms |           127.0.0.1 | POST    /api/login
2025/03/15 - 17:02:19 | 200 |           0s |           127.0.0.1 | OPTIONS /api/halls
2025/03/15 - 17:02:19 | 200 |     1.6227ms |           127.0.0.1 | GET     /api/halls
2025/03/15 - 17:02:53 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 17:02:53 | 200 |     2.1059ms |                 ::1 | GET     /api/halls
2025/03/15 - 17:02:53 | 200 |           0s |           127.0.0.1 | OPTIONS /api/halls
2025/03/15 - 17:02:53 | 200 |     1.5808ms |           127.0.0.1 | GET     /api/halls
2025/03/15 - 17:02:53 | 200 |     5.2226ms |                 ::1 | GET     /api/halls
2025/03/15 - 17:02:58 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:02:58 | 200 |    75.5323ms |                 ::1 | POST    /api/login
2025/03/15 - 17:02:59 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 17:02:59 | 200 |      2.103ms |                 ::1 | GET     /api/halls
2025/03/15 - 17:04:03 | 200 |           0s |           127.0.0.1 | OPTIONS /api/halls
2025/03/15 - 17:04:04 | 200 |     1.5649ms |           127.0.0.1 | GET     /api/halls
2025/03/15 - 17:10:54 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:10:54 | 200 |    48.8496ms |                 ::1 | POST    /api/login
2025/03/15 - 17:10:54 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 17:10:54 | 403 |     1.6008ms |                 ::1 | GET     /api/halls
2025/03/15 - 17:11:07 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/03/15 - 17:11:07 | 200 |    52.4029ms |                 ::1 | POST    /api/login
2025/03/15 - 17:11:07 | 200 |           0s |                 ::1 | OPTIONS /api/halls
2025/03/15 - 17:11:07 | 403 |     1.0371ms |                 ::1 | GET     /api/halls
2025/03/15 - 17:34:36 | 200 |           0s |           127.0.0.1 | OPTIONS /api/halls
2025/03/15 - 17:34:36 | 200 |     2.0822ms |           127.0.0.1 | GET     /api/halls
2025/03/15 - 17:35:04 | 401 |       27.7µs |                 ::1 | GET     /api/halls
2025/03/15 - 17:35:09 | 200 |    48.6272ms |                 ::1 | POST    /api/login
2025/03/15 - 17:35:11 | 200 |      2.131ms |                 ::1 | GET     /api/halls
2025/03/15 - 17:36:15 | 200 |      1.566ms |                 ::1 | GET     /api/halls
2025/03/15 - 17:37:11 | 200 |     1.0495ms |                 ::1 | GET     /api/reservations
2025/03/15 - 17:37:49 | 200 |     1.0773ms |                 ::1 | GET     /api/reservations
2025/03/15 - 17:39:39 | 204 |     2.0879ms |                 ::1 | GET     /api/reservations
