2025/02/07 - 19:20:55 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:55 | 401 |     1.0847ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:56 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:56 | 401 |     1.0858ms |                 ::1 | POST    /api/login
2025/02/07 - 19:20:56 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:20:56 | 401 |     1.0619ms |                 ::1 | POST    /api/login
2025/02/07 - 19:21:03 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:21:03 | 401 |     1.0389ms |                 ::1 | POST    /api/login
2025/02/07 - 19:21:08 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:21:08 | 401 |      1.038ms |                 ::1 | POST    /api/login
2025/02/07 - 19:21:12 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:21:12 | 401 |     1.0564ms |                 ::1 | POST    /api/login
2025/02/07 - 19:21:48 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:21:48 | 401 |     1.0468ms |                 ::1 | POST    /api/login
2025/02/07 - 19:22:06 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:22:06 | 401 |     1.0514ms |                 ::1 | POST    /api/login
2025/02/07 - 19:23:09 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:23:09 | 401 |      526.8µs |                 ::1 | POST    /api/login
2025/02/07 - 19:23:23 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:23:23 | 401 |     1.0514ms |                 ::1 | POST    /api/login
2025/02/07 - 19:23:38 | 200 |       15.7µs |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:23:38 | 401 |     1.0443ms |                 ::1 | POST    /api/login
2025/02/07 - 19:23:43 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:23:43 | 401 |     1.0593ms |                 ::1 | POST    /api/login
2025/02/07 - 19:23:43 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:23:43 | 401 |     1.0603ms |                 ::1 | POST    /api/login
2025/02/07 - 19:24:02 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:24:02 | 401 |     1.0606ms |                 ::1 | POST    /api/login
2025/02/07 - 19:24:39 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:24:39 | 401 |     1.1448ms |                 ::1 | POST    /api/login
2025/02/07 - 19:25:11 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:25:11 | 401 |     2.1076ms |                 ::1 | POST    /api/login
2025/02/07 - 19:25:18 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:25:18 | 401 |      597.6µs |                 ::1 | POST    /api/login
2025/02/07 - 19:25:25 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:25:25 | 401 |     1.0432ms |                 ::1 | POST    /api/login
